"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class","Headwidth_numeric"
"605",8,1,80,40,1.684,"40-43",40
"606",8,1,102,44,1.853,">43",44
"607",8,1,117,44,1.853,">43",44
"608",8,1,54,33,1.389,"30-34",33
"609",8,1,99,44,1.853,">43",44
"610",8,4,88,44,1.853,">43",44
"611",8,4,56,36,1.516,"35-39",36
"612",8,4,108,41,1.726,"40-43",41
"613",8,4,98,41,1.726,"40-43",41
"614",8,4,23,29,1.221,"<30",29
"615",8,4,162,44,1.853,">43",44
"616",8,4,35,28,1.179,"<30",28
"617",8,4,113,45,1.895,">43",45
"618",8,4,67,35,1.474,"35-39",35
"619",8,4,58,33,1.389,"30-34",33
"620",8,4,104,43,1.811,"40-43",43
"621",8,4,121,44,1.853,">43",44
"622",8,4,130,45,1.895,">43",45
"623",8,4,118,39,1.642,"35-39",39
"624",8,4,140,47,1.979,">43",47
"625",8,4,94,40,1.684,"40-43",40
"626",8,4,111,46,1.937,">43",46
"627",8,4,115,38,1.6,"35-39",38
"628",8,4,164,42,1.768,"40-43",42
"630",8,4,152,45,1.895,">43",45
"631",8,4,148,44,1.853,">43",44
"632",8,7,97,43,1.811,"40-43",43
"633",8,7,95,43,1.811,"40-43",43
"634",8,7,90,41,1.726,"40-43",41
"635",8,7,95,40,1.684,"40-43",40
"636",8,7,88,44,1.853,">43",44
"637",8,7,83,41,1.726,"40-43",41
"638",8,7,86,37,1.558,"35-39",37
"639",8,7,88,40,1.684,"40-43",40
"640",8,7,111,42,1.768,"40-43",42
"641",8,7,102,46,1.937,">43",46
"642",8,7,64,37,1.558,"35-39",37
"643",8,7,84,41,1.726,"40-43",41
"644",8,7,112,42,1.768,"40-43",42
"645",8,7,85,42,1.768,"40-43",42
"646",8,7,74,34,1.432,"30-34",34
"647",8,7,77,42,1.768,"40-43",42
"648",8,7,44,36,1.516,"35-39",36
"649",8,7,62,39,1.642,"35-39",39
"650",8,7,74,38,1.6,"35-39",38
"651",8,7,74,38,1.6,"35-39",38
"652",8,10,67,36,1.516,"35-39",36
"653",8,10,72,38,1.6,"35-39",38
"654",8,10,110,42,1.768,"40-43",42
"655",8,10,112,45,1.895,">43",45
"656",8,10,136,45,1.895,">43",45
"657",8,10,64,41,1.726,"40-43",41
"658",8,10,77,41,1.726,"40-43",41
"659",8,10,95,42,1.768,"40-43",42
"660",8,10,90,35,1.474,"35-39",35
"661",8,10,110,46,1.937,">43",46
"662",8,10,139,46,1.937,">43",46
"663",8,10,142,44,1.853,">43",44
"664",8,10,73,36,1.516,"35-39",36
"665",8,10,106,40,1.684,"40-43",40
"666",8,10,80,39,1.642,"35-39",39
"667",8,10,119,42,1.768,"40-43",42
"668",8,10,119,45,1.895,">43",45
"669",8,10,97,42,1.768,"40-43",42
"670",8,10,109,43,1.811,"40-43",43
"671",8,10,113,43,1.811,"40-43",43
"672",8,10,108,44,1.853,">43",44
"673",8,10,99,42,1.768,"40-43",42
"674",8,10,93,40,1.684,"40-43",40
"675",9,1,139,43,1.811,"40-43",43
"676",9,1,153,44,1.853,">43",44
"677",9,1,123,42,1.768,"40-43",42
"678",9,1,70,36,1.516,"35-39",36
"679",9,1,77,36,1.516,"35-39",36
"680",9,1,89,36,1.516,"35-39",36
"681",9,1,51,29,1.221,"<30",29
"682",9,1,116,42,1.768,"40-43",42
"683",9,1,105,39,1.642,"35-39",39
"684",9,1,106,40,1.684,"40-43",40
"685",9,1,74,36,1.516,"35-39",36
"686",9,1,80,37,1.558,"35-39",37
"687",9,1,30,26,1.095,"<30",26
"688",9,1,110,43,1.811,"40-43",43
"689",9,1,60,31,1.305,"30-34",31
"690",9,1,80,41,1.726,"40-43",41
"691",9,1,43,29,1.221,"<30",29
"692",9,1,111,45,1.895,">43",45
"693",9,1,108,39,1.642,"35-39",39
"694",9,1,48,30,1.263,"30-34",30
"695",9,1,88,39,1.642,"35-39",39
"696",9,1,54,32,1.347,"30-34",32
"697",9,1,78,36,1.516,"35-39",36
"698",9,1,37,31,1.305,"30-34",31
"699",9,1,25,27,1.137,"<30",27
"700",9,1,121,46,1.937,">43",46
"701",9,1,71,37,1.558,"35-39",37
"702",9,1,39,29,1.221,"<30",29
"703",9,4,139,45,1.895,">43",45
"704",9,4,86,36,1.516,"35-39",36
"705",9,4,132,42,1.768,"40-43",42
"706",9,4,137,47,1.979,">43",47
"707",9,4,159,43,1.811,"40-43",43
"708",9,4,120,45,1.895,">43",45
"709",9,4,77,34,1.432,"30-34",34
"710",9,4,67,35,1.474,"35-39",35
"711",9,4,104,45,1.895,">43",45
"712",9,4,83,40,1.684,"40-43",40
"713",9,4,122,45,1.895,">43",45
"714",9,4,114,44,1.853,">43",44
"715",9,4,50,31,1.305,"30-34",31
"716",9,4,147,46,1.937,">43",46
"717",9,4,78,37,1.558,"35-39",37
"718",9,4,56,32,1.347,"30-34",32
"719",9,4,34,27,1.137,"<30",27
"720",9,4,92,39,1.642,"35-39",39
"721",9,4,41,30,1.263,"30-34",30
"722",9,4,75,37,1.558,"35-39",37
"723",9,4,89,38,1.6,"35-39",38
"725",9,7,129,46,1.937,">43",46
"726",9,7,86,38,1.6,"35-39",38
"727",9,7,129,47,1.979,">43",47
"728",9,7,99,39,1.642,"35-39",39
"729",9,7,112,45,1.895,">43",45
"730",9,7,74,40,1.684,"40-43",40
"731",9,7,122,44,1.853,">43",44
"732",9,7,126,47,1.979,">43",47
"733",9,7,89,39,1.642,"35-39",39
"734",9,7,94,39,1.642,"35-39",39
"735",9,7,111,43,1.811,"40-43",43
"736",9,7,103,42,1.768,"40-43",42
"737",9,7,65,37,1.558,"35-39",37
"738",9,7,58,36,1.516,"35-39",36
"739",9,7,113,37,1.558,"35-39",37
"740",9,7,109,42,1.768,"40-43",42
"741",9,7,76,43,1.811,"40-43",43
"742",9,7,59,36,1.516,"35-39",36
"743",9,7,89,41,1.726,"40-43",41
"744",9,7,65,37,1.558,"35-39",37
"745",9,7,56,35,1.474,"35-39",35
"746",9,7,130,45,1.895,">43",45
"747",9,7,89,41,1.726,"40-43",41
"748",9,7,109,43,1.811,"40-43",43
"749",9,7,115,45,1.895,">43",45
"750",9,7,136,47,1.979,">43",47
"751",9,7,71,38,1.6,"35-39",38
"752",9,7,97,41,1.726,"40-43",41
"753",9,7,113,46,1.937,">43",46
"754",9,7,53,34,1.432,"30-34",34
"755",9,7,126,45,1.895,">43",45
"756",9,7,59,34,1.432,"30-34",34
"757",9,7,114,46,1.937,">43",46
"758",9,10,118,42,1.768,"40-43",42
"759",9,10,84,37,1.558,"35-39",37
"760",9,10,124,45,1.895,">43",45
"761",9,10,112,44,1.853,">43",44
"762",9,10,111,41,1.726,"40-43",41
"763",9,10,98,39,1.642,"35-39",39
"764",9,10,73,37,1.558,"35-39",37
"765",9,10,111,41,1.726,"40-43",41
"766",9,10,144,44,1.853,">43",44
"767",9,10,108,40,1.684,"40-43",40
"768",9,10,114,37,1.558,"35-39",37
"769",9,10,45,31,1.305,"30-34",31
"770",9,10,136,44,1.853,">43",44
"771",9,10,55,35,1.474,"35-39",35
"772",9,10,92,40,1.684,"40-43",40
"773",9,10,153,46,1.937,">43",46
"774",9,10,121,40,1.684,"40-43",40
"775",9,10,123,45,1.895,">43",45
"776",9,10,163,46,1.937,">43",46
"777",9,10,90,41,1.726,"40-43",41
"778",9,10,114,46,1.937,">43",46
"779",9,10,118,43,1.811,"40-43",43
"780",9,10,95,38,1.6,"35-39",38
"781",10,1,123,43,1.811,"40-43",43
"782",10,1,119,43,1.811,"40-43",43
"783",10,1,125,46,1.937,">43",46
"784",10,1,87,38,1.6,"35-39",38
"785",10,1,168,48,2.021,">43",48
"786",10,1,111,45,1.895,">43",45
"787",10,1,64,35,1.474,"35-39",35
"788",10,1,74,35,1.474,"35-39",35
"789",10,1,79,38,1.6,"35-39",38
"790",10,1,91,41,1.726,"40-43",41
"791",10,1,117,44,1.853,">43",44
"792",10,1,145,47,1.979,">43",47
"793",10,1,108,40,1.684,"40-43",40
"794",10,1,112,45,1.895,">43",45
"795",10,1,62,39,1.642,"35-39",39
"796",10,1,140,43,1.811,"40-43",43
"797",10,1,144,46,1.937,">43",46
"798",10,1,172,41,1.726,"40-43",41
"799",10,1,38,30,1.263,"30-34",30
"800",10,1,147,43,1.811,"40-43",43
"801",10,4,123,45,1.895,">43",45
"802",10,4,73,35,1.474,"35-39",35
"803",10,4,139,46,1.937,">43",46
"804",10,4,77,36,1.516,"35-39",36
"805",10,4,98,42,1.768,"40-43",42
"806",10,4,69,35,1.474,"35-39",35
"807",10,4,91,41,1.726,"40-43",41
"808",10,4,119,46,1.937,">43",46
"809",10,4,109,44,1.853,">43",44
"810",10,4,103,43,1.811,"40-43",43
"811",10,4,99,42,1.768,"40-43",42
"812",10,4,108,43,1.811,"40-43",43
"813",10,4,57,34,1.432,"30-34",34
"814",10,4,97,38,1.6,"35-39",38
"815",10,4,81,35,1.474,"35-39",35
"816",10,4,106,42,1.768,"40-43",42
"817",10,4,124,46,1.937,">43",46
"818",10,4,86,41,1.726,"40-43",41
"819",10,4,86,42,1.768,"40-43",42
"820",10,4,66,33,1.389,"30-34",33
"821",10,4,82,37,1.558,"35-39",37
"822",10,7,105,41,1.726,"40-43",41
"823",10,7,66,39,1.642,"35-39",39
"824",10,7,97,41,1.726,"40-43",41
"825",10,7,59,33,1.389,"30-34",33
"826",10,7,108,43,1.811,"40-43",43
"827",10,7,109,41,1.726,"40-43",41
"828",10,7,115,44,1.853,">43",44
"829",10,7,112,42,1.768,"40-43",42
"830",10,7,69,35,1.474,"35-39",35
"831",10,7,80,39,1.642,"35-39",39
"832",10,7,103,42,1.768,"40-43",42
"833",10,7,104,45,1.895,">43",45
"834",10,7,119,45,1.895,">43",45
"835",10,7,126,43,1.811,"40-43",43
"836",10,7,74,35,1.474,"35-39",35
"837",10,7,107,42,1.768,"40-43",42
"838",10,7,120,42,1.768,"40-43",42
"839",10,7,111,41,1.726,"40-43",41
"840",10,7,54,32,1.347,"30-34",32
"841",10,7,109,45,1.895,">43",45
"842",10,7,127,45,1.895,">43",45
"843",10,7,99,41,1.726,"40-43",41
"844",10,7,90,41,1.726,"40-43",41
"845",10,7,103,43,1.811,"40-43",43
"846",10,7,165,47,1.979,">43",47
"847",10,7,83,37,1.558,"35-39",37
"848",10,7,121,46,1.937,">43",46
"849",10,7,80,38,1.6,"35-39",38
"850",10,7,83,39,1.642,"35-39",39
"851",10,7,111,43,1.811,"40-43",43
"852",10,7,110,43,1.811,"40-43",43
"853",10,7,69,35,1.474,"35-39",35
"854",10,7,125,43,1.811,"40-43",43
"855",10,7,104,41,1.726,"40-43",41
"856",10,7,117,44,1.853,">43",44
"857",10,10,123,44,1.853,">43",44
"858",10,10,114,45,1.895,">43",45
"859",10,10,132,45,1.895,">43",45
"860",10,10,112,44,1.853,">43",44
"861",10,10,104,41,1.726,"40-43",41
"862",10,10,100,44,1.853,">43",44
"863",10,10,72,42,1.768,"40-43",42
"864",10,10,88,42,1.768,"40-43",42
"865",10,10,57,38,1.6,"35-39",38
"866",10,10,82,42,1.768,"40-43",42
"867",10,10,79,40,1.684,"40-43",40
"868",10,10,83,43,1.811,"40-43",43
"869",10,10,68,37,1.558,"35-39",37
"870",10,10,111,46,1.937,">43",46
"871",10,10,68,35,1.474,"35-39",35
"872",10,10,105,39,1.642,"35-39",39
"873",10,10,98,39,1.642,"35-39",39
"874",10,10,99,41,1.726,"40-43",41
"875",10,10,145,45,1.895,">43",45
"876",10,10,97,42,1.768,"40-43",42
"877",10,10,133,42,1.768,"40-43",42
"878",10,10,93,43,1.811,"40-43",43
"879",10,10,121,45,1.895,">43",45
"880",11,1,70,37,1.558,"35-39",37
"881",11,1,81,40,1.684,"40-43",40
"882",11,1,127,46,1.937,">43",46
"883",11,1,110,43,1.811,"40-43",43
"884",11,1,61,30,1.263,"30-34",30
"885",11,1,144,46,1.937,">43",46
"886",11,1,150,40,1.684,"40-43",40
"887",11,1,94,40,1.684,"40-43",40
"888",11,1,136,40,1.684,"40-43",40
"889",11,1,176,42,1.768,"40-43",42
"890",11,1,39,26,1.095,"<30",26
"891",11,1,91,37,1.558,"35-39",37
"892",11,1,152,42,1.768,"40-43",42
"893",11,1,39,27,1.137,"<30",27
"894",11,1,93,38,1.6,"35-39",38
"895",11,1,71,33,1.389,"30-34",33
"896",11,1,90,39,1.642,"35-39",39
"897",11,1,114,43,1.811,"40-43",43
"898",11,1,40,26,1.095,"<30",26
"899",11,1,145,45,1.895,">43",45
"900",11,1,40,28,1.179,"<30",28
"901",11,1,126,45,1.895,">43",45
"902",11,1,106,40,1.684,"40-43",40
"903",11,4,84,37,1.558,"35-39",37
"904",11,4,72,40,1.684,"40-43",40
"905",11,4,122,45,1.895,">43",45
"906",11,4,119,47,1.979,">43",47
"907",11,4,65,36,1.516,"35-39",36
"908",11,4,69,37,1.558,"35-39",37
"909",11,4,106,41,1.726,"40-43",41
"910",11,4,89,38,1.6,"35-39",38
"911",11,4,93,40,1.684,"40-43",40
"912",11,4,96,40,1.684,"40-43",40
"913",11,4,99,42,1.768,"40-43",42
"914",11,4,95,41,1.726,"40-43",41
"915",11,4,109,44,1.853,">43",44
"916",11,4,82,39,1.642,"35-39",39
"917",11,4,94,38,1.6,"35-39",38
"918",11,4,106,38,1.6,"35-39",38
"919",11,4,120,41,1.726,"40-43",41
"920",11,4,29,25,1.053,"<30",25
"921",11,4,109,40,1.684,"40-43",40
"922",11,4,95,42,1.768,"40-43",42
"923",11,4,66,35,1.474,"35-39",35
"924",11,4,43,26,1.095,"<30",26
"925",11,4,81,40,1.684,"40-43",40
"926",11,4,48,32,1.347,"30-34",32
"927",11,4,45,31,1.305,"30-34",31
"928",11,7,102,41,1.726,"40-43",41
"929",11,7,130,42,1.768,"40-43",42
"930",11,7,104,42,1.768,"40-43",42
"931",11,7,104,45,1.895,">43",45
"932",11,7,99,38,1.6,"35-39",38
"933",11,7,92,42,1.768,"40-43",42
"934",11,7,79,37,1.558,"35-39",37
"935",11,7,66,35,1.474,"35-39",35
"936",11,7,123,46,1.937,">43",46
"937",11,7,76,40,1.684,"40-43",40
"938",11,7,52,34,1.432,"30-34",34
"939",11,7,67,35,1.474,"35-39",35
"940",11,7,110,43,1.811,"40-43",43
"941",11,7,74,38,1.6,"35-39",38
"942",11,7,59,37,1.558,"35-39",37
"943",11,7,91,42,1.768,"40-43",42
"944",11,7,54,37,1.558,"35-39",37
"945",11,7,112,41,1.726,"40-43",41
"946",11,7,127,45,1.895,">43",45
"947",11,7,107,45,1.895,">43",45
"948",11,7,115,46,1.937,">43",46
"949",11,7,90,42,1.768,"40-43",42
"950",11,7,56,34,1.432,"30-34",34
"951",11,7,137,46,1.937,">43",46
"952",11,7,106,44,1.853,">43",44
"953",11,10,53,33,1.389,"30-34",33
"954",11,10,89,40,1.684,"40-43",40
"955",11,10,95,41,1.726,"40-43",41
"956",11,10,78,37,1.558,"35-39",37
"957",11,10,50,33,1.389,"30-34",33
"958",11,10,52,33,1.389,"30-34",33
"959",11,10,90,41,1.726,"40-43",41
"960",11,10,136,45,1.895,">43",45
"961",11,10,100,41,1.726,"40-43",41
"962",11,10,116,41,1.726,"40-43",41
"963",11,10,38,28,1.179,"<30",28
"964",11,10,113,45,1.895,">43",45
"965",11,10,89,38,1.6,"35-39",38
"966",11,10,48,32,1.347,"30-34",32
"967",11,10,106,42,1.768,"40-43",42
"968",11,10,108,41,1.726,"40-43",41
"969",11,10,86,37,1.558,"35-39",37
"970",11,10,110,42,1.768,"40-43",42
"971",11,10,90,38,1.6,"35-39",38
"972",11,10,94,40,1.684,"40-43",40
"973",11,10,28,26,1.095,"<30",26
"974",11,10,116,46,1.937,">43",46
"975",11,10,78,38,1.6,"35-39",38
"976",11,10,116,41,1.726,"40-43",41
"977",11,10,70,35,1.474,"35-39",35
"978",11,10,99,38,1.6,"35-39",38
"979",11,10,118,43,1.811,"40-43",43
"980",11,10,103,41,1.726,"40-43",41
"981",11,10,114,46,1.937,">43",46
"982",11,10,98,43,1.811,"40-43",43
"983",11,10,61,35,1.474,"35-39",35
"984",11,10,77,37,1.558,"35-39",37
"985",11,10,53,32,1.347,"30-34",32
"986",11,10,132,45,1.895,">43",45
"987",11,10,98,42,1.768,"40-43",42
"988",1,0,163,46,1.937,">43",46
"989",1,0,102,39,1.642,"35-39",39
"990",1,0,144,48,2.021,">43",48
"991",1,0,115,43,1.811,"40-43",43
"992",1,0,108,43,1.811,"40-43",43
"993",1,0,68,34,1.432,"30-34",34
"994",1,0,107,42,1.768,"40-43",42
"995",1,0,141,42,1.768,"40-43",42
"996",1,0,111,42,1.768,"40-43",42
"997",1,0,55,32,1.347,"30-34",32
"998",1,0,112,42,1.768,"40-43",42
"999",1,0,100,39,1.642,"35-39",39
"1000",2,0,116,43,1.811,"40-43",43
"1001",2,0,71,35,1.474,"35-39",35
"1002",2,0,146,46,1.937,">43",46
"1003",2,0,119,45,1.895,">43",45
"1004",2,0,97,42,1.768,"40-43",42
"1005",2,0,43,30,1.263,"30-34",30
"1006",2,0,127,45,1.895,">43",45
"1007",2,0,106,43,1.811,"40-43",43
"1008",2,0,79,35,1.474,"35-39",35
"1009",2,0,127,45,1.895,">43",45
"1010",2,0,114,44,1.853,">43",44
"1011",2,0,85,40,1.684,"40-43",40
"1012",3,0,90,36,1.516,"35-39",36
"1013",3,0,149,45,1.895,">43",45
"1014",3,0,116,41,1.726,"40-43",41
"1015",3,0,142,47,1.979,">43",47
"1016",3,0,90,37,1.558,"35-39",37
"1017",3,0,73,37,1.558,"35-39",37
"1018",3,0,151,45,1.895,">43",45
"1019",3,0,135,43,1.811,"40-43",43
"1020",3,0,90,41,1.726,"40-43",41
"1021",3,0,81,39,1.642,"35-39",39
"1022",3,0,64,34,1.432,"30-34",34
"1023",3,0,54,29,1.221,"<30",29
"1024",4,0,56,31,1.305,"30-34",31
"1025",4,0,75,38,1.6,"35-39",38
"1026",4,0,139,46,1.937,">43",46
"1027",4,0,127,47,1.979,">43",47
"1028",4,0,96,37,1.558,"35-39",37
"1029",4,0,52,33,1.389,"30-34",33
"1030",4,0,94,45,1.895,">43",45
"1031",4,0,119,41,1.726,"40-43",41
"1032",4,0,99,44,1.853,">43",44
"1033",4,0,117,45,1.895,">43",45
"1034",4,0,103,44,1.853,">43",44
"1035",4,0,80,39,1.642,"35-39",39
"1036",6,0,130,43,1.811,"40-43",43
"1037",6,0,102,40,1.684,"40-43",40
"1038",6,0,106,43,1.811,"40-43",43
"1039",6,0,38,27,1.137,"<30",27
"1040",6,0,49,31,1.305,"30-34",31
"1041",6,0,120,41,1.726,"40-43",41
"1042",6,0,113,43,1.811,"40-43",43
"1043",6,0,65,36,1.516,"35-39",36
"1044",6,0,126,45,1.895,">43",45
"1045",6,0,91,39,1.642,"35-39",39
"1046",6,0,82,37,1.558,"35-39",37
"1047",6,0,158,48,2.021,">43",48
"1048",7,0,122,46,1.937,">43",46
"1049",7,0,56,33,1.389,"30-34",33
"1050",7,0,144,45,1.895,">43",45
"1051",7,0,74,40,1.684,"40-43",40
"1052",7,0,112,45,1.895,">43",45
"1053",7,0,53,30,1.263,"30-34",30
"1054",7,0,104,43,1.811,"40-43",43
"1055",7,0,72,38,1.6,"35-39",38
"1056",7,0,106,40,1.684,"40-43",40
"1057",7,0,92,42,1.768,"40-43",42
"1058",7,0,98,45,1.895,">43",45
"1059",7,0,47,30,1.263,"30-34",30
"1060",8,0,106,44,1.853,">43",44
"1061",8,0,80,39,1.642,"35-39",39
"1062",8,0,121,48,2.021,">43",48
"1063",8,0,75,37,1.558,"35-39",37
"1064",8,0,83,41,1.726,"40-43",41
"1065",8,0,53,32,1.347,"30-34",32
"1066",8,0,108,45,1.895,">43",45
"1067",8,0,41,27,1.137,"<30",27
"1068",8,0,117,46,1.937,">43",46
"1069",8,0,41,30,1.263,"30-34",30
"1070",8,0,127,47,1.979,">43",47
"1071",8,0,90,40,1.684,"40-43",40
"1072",9,0,136,46,1.937,">43",46
"1073",9,0,86,39,1.642,"35-39",39
"1074",9,0,91,41,1.726,"40-43",41
"1075",9,0,77,36,1.516,"35-39",36
"1076",9,0,126,44,1.853,">43",44
"1077",9,0,64,33,1.389,"30-34",33
"1078",9,0,131,48,2.021,">43",48
"1079",9,0,48,30,1.263,"30-34",30
"1080",9,0,147,45,1.895,">43",45
"1081",9,0,70,33,1.389,"30-34",33
"1082",9,0,161,45,1.895,">43",45
"1083",9,0,29,25,1.053,"<30",25
"1084",10,0,90,40,1.684,"40-43",40
"1085",10,0,122,46,1.937,">43",46
"1086",10,0,113,44,1.853,">43",44
"1087",10,0,47,30,1.263,"30-34",30
"1088",10,0,125,45,1.895,">43",45
"1089",10,0,88,40,1.684,"40-43",40
"1090",10,0,122,43,1.811,"40-43",43
"1091",10,0,80,37,1.558,"35-39",37
"1092",10,0,113,47,1.979,">43",47
"1093",10,0,44,31,1.305,"30-34",31
"1094",10,0,86,38,1.6,"35-39",38
"1095",10,0,32,26,1.095,"<30",26
"1096",11,0,123,45,1.895,">43",45
"1097",11,0,88,41,1.726,"40-43",41
"1098",11,0,153,46,1.937,">43",46
"1099",11,0,83,41,1.726,"40-43",41
"1100",11,0,112,44,1.853,">43",44
"1101",11,0,34,29,1.221,"<30",29
"1102",11,0,107,44,1.853,">43",44
"1103",11,0,56,34,1.432,"30-34",34
"1104",11,0,121,45,1.895,">43",45
"1105",11,0,53,33,1.389,"30-34",33
"1106",11,0,189,44,1.853,">43",44
"1107",11,0,75,39,1.642,"35-39",39
"1108",5,0,132,47,1.979,">43",47
"1109",5,0,64,37,1.558,"35-39",37
"1110",5,0,109,41,1.726,"40-43",41
"1111",5,0,59,33,1.389,"30-34",33
"1112",5,0,120,42,1.768,"40-43",42
"1113",5,0,56,37,1.558,"35-39",37
"1114",5,0,189,48,2.021,">43",48
"1115",5,0,95,39,1.642,"35-39",39
"1116",5,0,135,47,1.979,">43",47
"1117",5,0,110,41,1.726,"40-43",41
"1118",5,0,147,46,1.937,">43",46
"1119",5,0,135,41,1.726,"40-43",41
"1120",5,1,159,45,1.895,">43",45
"1121",5,1,61,35,1.474,"35-39",35
"1122",5,1,130,42,1.768,"40-43",42
"1123",5,1,136,42,1.768,"40-43",42
"1124",5,1,120,42,1.768,"40-43",42
"1125",5,1,107,43,1.811,"40-43",43
"1126",5,1,77,37,1.558,"35-39",37
"1127",5,1,114,42,1.768,"40-43",42
"1128",5,1,119,44,1.853,">43",44
"1129",5,1,76,38,1.6,"35-39",38
"1130",5,1,120,43,1.811,"40-43",43
"1131",5,1,106,40,1.684,"40-43",40
"1132",5,1,118,43,1.811,"40-43",43
"1133",5,1,73,36,1.516,"35-39",36
"1134",5,1,122,43,1.811,"40-43",43
"1135",5,1,86,39,1.642,"35-39",39
"1136",5,1,85,39,1.642,"35-39",39
"1137",5,1,97,43,1.811,"40-43",43
"1138",5,1,91,37,1.558,"35-39",37
"1139",5,1,111,42,1.768,"40-43",42
"1141",5,1,118,45,1.895,">43",45
"1142",5,1,74,36,1.516,"35-39",36
"1143",5,1,104,43,1.811,"40-43",43
"1144",5,1,130,44,1.853,">43",44
"1145",5,1,87,36,1.516,"35-39",36
"1146",5,1,83,40,1.684,"40-43",40
"1147",5,1,72,37,1.558,"35-39",37
"1148",5,1,145,45,1.895,">43",45
"1149",5,4,42,28,1.179,"<30",28
"1150",5,4,44,30,1.263,"30-34",30
"1151",5,4,103,40,1.684,"40-43",40
"1152",5,4,50,32,1.347,"30-34",32
"1153",5,4,28,29,1.221,"<30",29
"1154",5,4,108,45,1.895,">43",45
"1155",5,4,118,42,1.768,"40-43",42
"1156",5,4,97,39,1.642,"35-39",39
"1157",5,4,96,39,1.642,"35-39",39
"1158",5,4,34,28,1.179,"<30",28
"1159",5,4,63,35,1.474,"35-39",35
"1160",5,4,110,46,1.937,">43",46
"1161",5,4,80,36,1.516,"35-39",36
"1162",5,4,70,40,1.684,"40-43",40
"1163",5,4,73,36,1.516,"35-39",36
"1164",5,4,39,31,1.305,"30-34",31
"1165",5,4,105,42,1.768,"40-43",42
"1166",5,4,97,39,1.642,"35-39",39
"1167",5,4,78,36,1.516,"35-39",36
"1168",5,4,121,43,1.811,"40-43",43
"1169",5,4,80,46,1.937,">43",46
"1170",5,4,83,42,1.768,"40-43",42
"1171",5,4,111,41,1.726,"40-43",41
"1172",5,4,110,44,1.853,">43",44
"1173",5,4,69,32,1.347,"30-34",32
"1174",5,4,125,43,1.811,"40-43",43
"1175",5,4,104,43,1.811,"40-43",43
"1176",5,4,117,35,1.474,"35-39",35
"1177",5,7,87,40,1.684,"40-43",40
"1178",5,7,78,38,1.6,"35-39",38
"1179",5,7,81,36,1.516,"35-39",36
"1180",5,7,108,43,1.811,"40-43",43
"1181",5,7,58,38,1.6,"35-39",38
"1182",5,7,105,46,1.937,">43",46
"1183",5,7,63,37,1.558,"35-39",37
"1184",5,7,109,41,1.726,"40-43",41
"1185",5,7,86,42,1.768,"40-43",42
"1186",5,7,125,45,1.895,">43",45
"1187",5,7,75,36,1.516,"35-39",36
"1188",5,7,109,41,1.726,"40-43",41
"1189",5,7,80,43,1.811,"40-43",43
"1190",5,7,62,41,1.726,"40-43",41
"1191",5,7,139,46,1.937,">43",46
"1192",5,7,92,43,1.811,"40-43",43
"1193",5,7,100,45,1.895,">43",45
"1194",5,7,90,43,1.811,"40-43",43
"1195",5,7,75,41,1.726,"40-43",41
"1196",5,7,93,42,1.768,"40-43",42
"1197",5,7,135,45,1.895,">43",45
"1198",5,7,132,43,1.811,"40-43",43
"1199",5,7,84,41,1.726,"40-43",41
